source_type,timestamp_readable,category,label,model,metric,quant_desc,aw_bits,weight_group,router_weight_group,ose_topk,ose_quant,ose_score,disable_gateup_duquant,tier_quants,tier_fractions,wikitext2,c4,acc_avg,avg_no_obqa,arc_challenge,arc_easy,boolq,openbookqa,piqa,winogrande,status,experiment,source_file,run_log,rank_log
rank_log,2026-07-17 12:12:35,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,64,64,64,w8a8,smooth_scale,True,,,6.9977946281433105,11.22057819366455,,,,,,,,,ok_ppl_only,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_64,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_64/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784260285.txt,,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_64/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784260285.txt
rank_log,2026-07-13 20:07:49,ad_hoc_ppl_only,reproduce_olmoe_691_route_range,olmoe,route_range,W4A8 Rw8a8,12,,,64,w8a8,smooth_scale,True,,,6.905686855316162,,,,,,,,,,ok_ppl_only,experiments/repro_olmoe_691_20260713_194824/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8,experiments/repro_olmoe_691_20260713_194824/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8/log_rank0_1783943307.txt,,experiments/repro_olmoe_691_20260713_194824/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8/log_rank0_1783943307.txt
rank_log,2026-07-19 18:30:56,ad_hoc_ppl_only,reproduce_olmoe_691_route_range,olmoe,,W4A8 Rw8a8,12,1,1,0,w8a8,smooth_scale,False,,,7.0765790939331055,11.212298393249512,,,,,,,,,ok_ppl_only,experiments/repro_olmoe_691_20260719_180204/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8,experiments/repro_olmoe_691_20260719_180204/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8/log_rank0_1784455327.txt,,experiments/repro_olmoe_691_20260719_180204/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8/log_rank0_1784455327.txt
rank_log,2026-07-21 14:32:15,ad_hoc_ppl_only,reproduce_olmoe_691_route_range,olmoe,route_range,W4A8 Rw8a8,12,1,1,64,w8a8,smooth_scale,True,,,6.906529426574707,11.13419246673584,,,,,,,,,ok_ppl_only,experiments/repro_olmoe_691_20260721_140958/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8,experiments/repro_olmoe_691_20260721_140958/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8/log_rank0_1784614202.txt,,experiments/repro_olmoe_691_20260721_140958/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8/log_rank0_1784614202.txt
summary,2026-07-14 15:13:17,allocation_component_ablation,all_three,olmoe,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1",12.0,1,,,,,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875",6.9023637771606445,11.131814002990723,,,,,,,,,ok,experiments/allocation_component_ablation_olmoe_ppl_20260714_134013,experiments/allocation_component_ablation_olmoe_ppl_20260714_134013/summary.csv,,
summary,2026-07-14 15:13:17,allocation_component_ablation,no_down_range,olmoe,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1",12.0,1,,,,,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875",6.9091315269470215,11.13168716430664,,,,,,,,,ok,experiments/allocation_component_ablation_olmoe_ppl_20260714_134013,experiments/allocation_component_ablation_olmoe_ppl_20260714_134013/summary.csv,,
summary,2026-07-14 15:13:17,allocation_component_ablation,no_input_range,olmoe,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1",12.0,1,,,,,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875",6.897261619567871,11.125425338745117,,,,,,,,,ok,experiments/allocation_component_ablation_olmoe_ppl_20260714_134013,experiments/allocation_component_ablation_olmoe_ppl_20260714_134013/summary.csv,,
summary,2026-07-14 15:13:17,allocation_component_ablation,no_weight_range,olmoe,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1",12.0,1,,,,,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875",6.905252456665039,11.132132530212402,,,,,,,,,ok,experiments/allocation_component_ablation_olmoe_ppl_20260714_134013,experiments/allocation_component_ablation_olmoe_ppl_20260714_134013/summary.csv,,
summary,2026-07-14 12:07:41,allocation_formula_ablation,no_both_halves,olmoe,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1",12.0,1,,,,,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875",6.90828800201416,11.133258819580078,,,,,,,,,ok,experiments/allocation_metric_ablation_olmoe_ppl_20260714_103026,experiments/allocation_metric_ablation_olmoe_ppl_20260714_103026/summary.csv,,
summary,2026-07-14 12:07:41,allocation_formula_ablation,no_log_no_halves,olmoe,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1",12.0,1,,,,,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875",6.9023637771606445,11.131814002990723,,,,,,,,,ok,experiments/allocation_metric_ablation_olmoe_ppl_20260714_103026,experiments/allocation_metric_ablation_olmoe_ppl_20260714_103026/summary.csv,,
summary,2026-07-14 12:07:41,allocation_formula_ablation,no_route_half,olmoe,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1",12.0,1,,,,,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875",6.91007137298584,11.134511947631836,,,,,,,,,ok,experiments/allocation_metric_ablation_olmoe_ppl_20260714_103026,experiments/allocation_metric_ablation_olmoe_ppl_20260714_103026/summary.csv,,
summary,2026-07-14 12:07:41,allocation_formula_ablation,no_weight_half,olmoe,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1",12.0,1,,,,,,"w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875",6.910553455352783,11.134065628051758,,,,,,,,,ok,experiments/allocation_metric_ablation_olmoe_ppl_20260714_103026,experiments/allocation_metric_ablation_olmoe_ppl_20260714_103026/summary.csv,,
summary,2026-07-15 01:38:36,allocation_metric_ablation_group1,kurtosis,olmoe,kurtosis,,12.0,1,,,,,,,,7.018791198730469,11.202122688293457,,,,,,,,,ok,experiments/metric_ablation_olmoe_ppl_20260714_235211,experiments/metric_ablation_olmoe_ppl_20260714_235211/summary.csv,experiments/metric_ablation_olmoe_ppl_20260714_235211/kurtosis/run.log,
summary,2026-07-15 01:38:36,allocation_metric_ablation_group1,residual_qerr,olmoe,residual_qerr,,12.0,1,,,,,,,,7.144479274749756,11.328033447265625,,,,,,,,,ok,experiments/metric_ablation_olmoe_ppl_20260714_235211,experiments/metric_ablation_olmoe_ppl_20260714_235211/summary.csv,experiments/metric_ablation_olmoe_ppl_20260714_235211/residual_qerr/run.log,
summary,2026-07-15 01:38:36,allocation_metric_ablation_group1,residual_qerr_gain,olmoe,residual_qerr_gain,,12.0,1,,,,,,,,7.144928932189941,11.330777168273926,,,,,,,,,ok,experiments/metric_ablation_olmoe_ppl_20260714_235211,experiments/metric_ablation_olmoe_ppl_20260714_235211/summary.csv,experiments/metric_ablation_olmoe_ppl_20260714_235211/residual_qerr_gain/run.log,
summary,2026-07-15 01:38:36,allocation_metric_ablation_group1,route,olmoe,route,,12.0,1,,,,,,,,6.922035217285156,11.186345100402832,,,,,,,,,ok,experiments/metric_ablation_olmoe_ppl_20260714_235211,experiments/metric_ablation_olmoe_ppl_20260714_235211/summary.csv,experiments/metric_ablation_olmoe_ppl_20260714_235211/route/run.log,
